"filename", "language", "Properties", "YAML", "Markdown", "Shell Script", "Batch", "C++", "Python", "C", "XML", "CSS", "HTML", "Less", "Objective-C", "JavaScript", "Objective-C++", "Makefile", "HLSL", "Lua", "C#", "Java", "ShaderLab", "comment", "blank", "total"
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\.coveralls.yml", "YAML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\.editorconfig", "Properties", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\.gitattributes", "Properties", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 23
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\.github\FUNDING.yml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\.github\workflows\ccpp.yml", "YAML", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 60
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\.github\workflows\sanitizer.yml", "YAML", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\.travis.sh", "Shell Script", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 68
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\.travis.yml", "YAML", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 79
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\BUILDBINARIES_EXAMPLE.bat", "Batch", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\Build.md", "Markdown", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 89
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\CONTRIBUTING.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\CodeConventions.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\Readme.md", "Markdown", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 214
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\appveyor.yml", "YAML", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 82
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\.editorconfig", "Properties", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3DS\3DSConverter.cpp", "C++", 0, 0, 0, 0, 0, 494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, 127, 813
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3DS\3DSExporter.cpp", "C++", 0, 0, 0, 0, 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 93, 568
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3DS\3DSExporter.h", "C++", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 14, 99
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3DS\3DSHelper.h", "C++", 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 116, 705
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3DS\3DSLoader.cpp", "C++", 0, 0, 0, 0, 0, 845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 285, 211, 1341
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3DS\3DSLoader.h", "C++", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 56, 281
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3MF\3MFXmlTags.h", "C++", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 7, 105
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3MF\D3MFExporter.cpp", "C++", 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 68, 405
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3MF\D3MFExporter.h", "C++", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 15, 107
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3MF\D3MFImporter.cpp", "C++", 0, 0, 0, 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 80, 482
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3MF\D3MFImporter.h", "C++", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 8, 66
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3MF\D3MFOpcPackage.cpp", "C++", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 39, 208
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\3MF\D3MFOpcPackage.h", "C++", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 13, 84
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\AC\ACLoader.cpp", "C++", 0, 0, 0, 0, 0, 572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 106, 810
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\AC\ACLoader.h", "C++", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 47, 244
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\AMF\AMFImporter.cpp", "C++", 0, 0, 0, 0, 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 118, 673
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\AMF\AMFImporter.hpp", "C++", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 244, 75, 433
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\AMF\AMFImporter_Geometry.cpp", "C++", 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 50, 358
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\AMF\AMFImporter_Macro.hpp", "C++", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 13, 167
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\AMF\AMFImporter_Material.cpp", "C++", 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 41, 330
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\AMF\AMFImporter_Node.hpp", "C++", 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 47, 341
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\AMF\AMFImporter_Postprocess.cpp", "C++", 0, 0, 0, 0, 0, 547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 138, 873
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\ASE\ASELoader.cpp", "C++", 0, 0, 0, 0, 0, 787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 312, 202, 1301
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\ASE\ASELoader.h", "C++", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 47, 208
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\ASE\ASEParser.cpp", "C++", 0, 0, 0, 0, 0, 1386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 320, 156, 1862
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\ASE\ASEParser.h", "C++", 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 293, 142, 705
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\Assbin\AssbinExporter.cpp", "C++", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 7, 69
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\Assbin\AssbinExporter.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 7, 59
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\Assbin\AssbinFileWriter.cpp", "C++", 0, 0, 0, 0, 0, 574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 126, 833
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\Assbin\AssbinFileWriter.h", "C++", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 8, 66
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\Assbin\AssbinLoader.cpp", "C++", 0, 0, 0, 0, 0, 531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 98, 731
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\Assbin\AssbinLoader.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 12, 107
"c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\code\AssetLib\Assjson\cencode.c", "C", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 114
