Date : 2020-05-07 16:01:01
Directory : c:\Users\Steak\Documents\GitHub\Upsilon\Libraries
Total : 5106 files,  1016028 codes, 259358 comments, 186782 blanks, all 1462168 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C++           |      3,700 |    681,652 |    226,218 |    148,394 |  1,056,264 |
| HTML          |        716 |    148,412 |      3,528 |      7,105 |    159,045 |
| C             |        220 |     77,419 |     13,300 |     14,954 |    105,673 |
| XML           |         27 |     50,467 |         27 |         81 |     50,575 |
| Markdown      |         92 |     21,289 |          1 |      6,565 |     27,855 |
| Python        |         98 |     13,411 |      7,949 |      4,573 |     25,933 |
| JavaScript    |        104 |      5,693 |        186 |        263 |      6,142 |
| Objective-C   |         11 |      5,269 |        659 |      1,298 |      7,226 |
| CSS           |         18 |      4,708 |        204 |        963 |      5,875 |
| Java          |         42 |      2,296 |      6,204 |      1,365 |      9,865 |
| YAML          |         20 |      1,912 |        158 |        182 |      2,252 |
| Shell Script  |         22 |        884 |        215 |        238 |      1,337 |
| C#            |          9 |        879 |        506 |        239 |      1,624 |
| Objective-C++ |          3 |        615 |        118 |        230 |        963 |
| Less          |          2 |        567 |         56 |        163 |        786 |
| Batch         |          8 |        249 |          1 |         85 |        335 |
| Lua           |          1 |        178 |          0 |         49 |        227 |
| Properties    |          9 |         84 |          8 |         17 |        109 |
| HLSL          |          2 |         26 |          0 |          6 |         32 |
| ShaderLab     |          1 |         10 |         19 |          7 |         36 |
| Makefile      |          1 |          8 |          1 |          5 |         14 |
+---------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                           |      5,106 |  1,016,028 |    259,358 |    186,782 |  1,462,168 |
| assimp                                                                                                                                                                                      |      1,209 |    347,992 |    114,001 |     63,986 |    525,979 |
| assimp\assimp                                                                                                                                                                               |      1,209 |    347,992 |    114,001 |     63,986 |    525,979 |
| assimp\assimp\.github                                                                                                                                                                       |          3 |        102 |          1 |         18 |        121 |
| assimp\assimp\.github\workflows                                                                                                                                                             |          2 |         99 |          1 |         17 |        117 |
| assimp\assimp\code                                                                                                                                                                          |        423 |    145,398 |     48,095 |     28,951 |    222,444 |
| assimp\assimp\code\AssetLib                                                                                                                                                                 |        312 |    129,315 |     38,896 |     24,729 |    192,940 |
| assimp\assimp\code\AssetLib\3DS                                                                                                                                                             |          6 |      2,180 |      1,010 |        617 |      3,807 |
| assimp\assimp\code\AssetLib\3MF                                                                                                                                                             |          7 |        917 |        310 |        230 |      1,457 |
| assimp\assimp\code\AssetLib\AC                                                                                                                                                              |          2 |        654 |        247 |        153 |      1,054 |
